ID,国語,数学,英語,理科,社会,体育
19990188,61,10,14,34,13,0
19990189,63,30,33,49,44,44
19990190,33,71,68,46,89,40
19990191,73,99,70,45,76,69
19990192,19,50,7,23,62,1
19990193,58,48,8,98,9,62
19990194,73,74,32,27,92,67
19990195,64,21,45,24,26,3
19990196,52,45,22,54,5,49
19990197,21,17,74,64,88,86
19990198,80,55,5,15,54,2
19990199,89,58,60,0,73,71
19990200,67,54,54,15,36,66
19990201,14,17,97,12,43,26
19990202,37,51,68,93,99,15
19990203,30,44,11,66,66,64
19990204,4,4,88,25,18,80
19990205,63,55,90,47,83,26
19990206,44,50,54,89,18,8
19990207,89,19,3,97,98,39
19990208,62,54,73,96,2,31
19990209,32,13,45,48,22,3
19990210,96,27,26,59,92,33
19990211,26,13,13,89,50,64
19990212,90,28,41,60,84,99
19990213,22,73,3,39,96,9
19990214,67,84,88,89,12,71
19990215,11,45,84,82,47,6
19990216,47,87,8,91,8,50
19990217,57,1,80,69,59,9
19990218,19,87,39,68,68,68
19990219,82,65,6,30,50,18
19990220,58,49,88,56,48,41
19990221,72,55,42,50,28,58
19990222,2,7,35,31,36,94
19990223,38,64,32,32,61,33
19990224,45,67,52,96,82,9
19990225,29,77,89,54,63,47
19990226,99,5,42,92,37,83
19990227,66,61,86,83,16,4
19990228,96,17,79,98,58,31
19990229,85,56,25,2,17,25
19990230,89,17,12,21,94,37
19990231,73,31,62,30,33,3
19990232,45,76,67,83,90,64
19990233,68,4,38,55,90,42
19990234,88,2,48,70,74,28
19990235,26,36,20,31,71,86
19990236,54,51,80,68,90,76
19990237,9,88,40,4,19,33
19990238,68,57,27,7,52,28
19990239,47,39,61,80,2,66
19990240,77,2,16,43,65,5
19990241,5,60,48,59,10,53
19990242,29,77,85,48,17,57
19990243,61,72,42,99,52,40
19990244,44,11,32,83,97,30
19990245,99,90,61,12,37,49
19990246,36,27,62,44,75,31
19990247,84,36,63,98,19,36
19990248,35,86,82,33,83,50
19990249,64,34,42,27,23,39
19990250,75,19,75,33,30,99
19990251,14,39,17,62,71,27
19990252,95,95,68,43,84,96
19990253,13,3,41,42,57,85
19990254,73,16,52,98,30,93
19990255,20,71,32,19,4,14
19990256,37,42,25,74,18,88
19990257,71,1,18,18,86,15
19990258,12,83,97,47,48,70
19990259,6,6,44,5,14,92
19990260,70,14,62,45,73,24
19990261,73,29,34,89,39,66
19990262,20,81,43,74,41,91
19990263,16,39,22,20,4,60
19990264,32,10,13,69,47,5
19990265,69,78,53,9,90,26
19990266,40,15,30,23,93,97
19990267,92,61,91,73,83,65
19990268,68,8,53,19,34,89
19990269,59,43,23,17,71,28
19990270,10,37,26,36,51,85
19990271,13,9,63,17,25,86
19990272,89,60,58,28,62,46
19990273,75,10,91,15,16,79
19990274,46,21,28,75,55,37
19990275,98,55,15,86,69,17
19990276,76,95,65,0,11,10
19990277,40,96,63,21,86,55
19990278,27,27,69,1,70,9
19990279,9,10,33,58,10,66
19990280,11,77,48,27,38,46
19990281,41,29,80,19,12,44
19990282,35,14,47,94,19,30
19990283,44,20,31,50,18,84
19990284,48,83,97,42,36,14
19990285,9,25,34,45,81,94
19990286,61,46,69,53,6,28
19990287,26,38,14,36,31,56
19990288,40,76,38,90,87,20
19990289,88,8,22,85,30,16
19990290,80,37,13,13,1,17
19990291,26,44,9,97,4,49
19990292,20,37,57,42,8,63
19990293,1,12,95,17,48,45
19990294,87,88,4,0,58,83
19990295,57,36,13,13,45,26
19990296,48,70,1,70,17,85
19990297,84,69,90,98,0,80
19990298,31,35,28,20,15,55
19990299,92,99,90,21,35,30
19990300,48,69,19,19,38,45
19990301,11,87,5,47,65,3
19990302,76,38,93,35,6,96
19990303,89,58,27,42,92,47
19990304,54,49,27,58,84,34
19990305,91,83,3,93,31,13
19990306,44,89,33,44,53,18
19990307,45,38,32,18,82,13
19990308,35,41,18,73,95,2
19990309,67,60,4,98,24,29
19990310,75,86,51,70,19,15
19990311,50,93,17,94,78,39
19990312,38,21,30,28,85,58
19990313,89,87,85,87,4,29
19990314,33,47,4,64,84,87
19990315,66,6,90,36,37,82
19990316,96,77,90,7,85,19
19990317,57,42,61,18,56,42
19990318,97,74,63,41,82,53
19990319,38,2,74,25,76,24
19990320,97,73,97,0,82,49
19990321,54,53,20,95,8,74
19990322,99,51,30,29,95,22
19990323,16,37,67,78,0,14
19990324,25,25,96,92,89,52
19990325,93,6,42,88,8,24
19990326,8,17,87,53,25,98
19990327,70,85,84,72,4,1
19990328,48,29,0,82,1,44
19990329,94,71,63,82,74,5
19990330,50,68,87,21,66,85
19990331,74,56,1,84,59,1
19990332,96,28,5,94,99,0
19990333,81,6,69,6,22,80
19990334,62,37,98,13,34,77
19990335,9,81,41,65,4,66
19990336,3,4,50,23,59,57
19990337,74,56,67,79,85,10
19990338,20,81,7,70,20,59
19990339,39,17,8,75,87,67
19990340,82,11,33,86,55,53
19990341,19,83,71,99,52,83
19990342,93,93,37,87,11,44
19990343,54,22,41,99,41,71
19990344,62,96,22,52,54,59
19990345,77,21,31,28,37,14
19990346,4,7,57,51,15,53
19990347,97,87,38,83,0,99
19990348,52,35,39,91,42,4
19990349,47,76,12,46,62,39
19990350,17,67,60,85,83,49
19990351,77,36,15,68,33,37
19990352,49,61,49,43,40,6
19990353,83,9,57,84,9,59
19990354,13,47,69,72,46,6
19990355,13,26,24,29,10,79
19990356,50,30,80,71,42,58
19990357,49,76,24,84,40,73
19990358,22,55,31,36,47,90
19990359,12,16,34,87,6,69
19990360,74,66,79,13,14,74
19990361,93,87,45,97,9,9
19990362,13,39,69,61,53,64
19990363,8,22,23,87,1,6
19990364,8,79,87,85,0,31
19990365,54,38,47,21,38,72
19990366,23,50,55,17,6,82
19990367,94,23,0,39,46,8
19990368,17,5,70,72,23,88
19990369,15,16,19,26,20,36
19990370,66,17,11,75,55,71
19990371,58,16,35,36,20,89
19990372,23,37,63,29,99,85
19990373,74,20,64,34,93,7
19990374,71,19,72,95,11,64
19990375,34,72,83,98,64,56
19990376,19,12,7,18,25,7
19990377,18,62,50,93,56,11
19990378,15,57,64,13,64,82
19990379,17,34,54,68,33,88
19990380,87,62,31,31,28,4
19990381,52,14,6,50,70,56
19990382,6,53,91,25,79,58
19990383,65,77,89,38,94,11
19990384,86,75,4,62,29,52
19990385,66,60,53,75,42,58
19990386,76,33,70,82,15,41
19990387,30,50,95,69,86,33
19990388,91,38,21,23,50,13
19990389,63,71,81,60,29,2
19990390,40,26,64,26,47,52
19990391,49,13,42,14,55,21
19990392,4,25,85,5,13,56
19990393,93,41,74,21,55,64
19990394,22,81,31,6,92,7
19990395,79,31,53,86,66,70
19990396,70,10,23,20,88,37
19990397,65,46,74,65,60,18
19990398,58,0,49,73,64,32
19990399,61,95,73,29,10,5
19990400,34,79,89,45,50,62
19990401,92,94,97,86,15,62
19990402,61,15,66,27,96,61
19990403,53,0,32,14,10,76
19990404,2,88,88,56,32,47
19990405,46,36,74,87,57,29
19990406,39,54,99,18,46,3
19990407,19,94,91,54,10,91
19990408,22,25,51,77,46,88
19990409,41,48,94,47,42,19
19990410,31,12,43,81,68,97
19990411,45,6,5,17,56,52
19990412,76,87,35,90,54,91
19990413,3,84,73,92,13,21
19990414,46,77,87,20,79,99
19990415,12,25,41,14,74,11
19990416,78,95,96,24,65,8
19990417,7,53,9,77,65,15
19990418,86,21,41,40,82,80
19990419,25,1,68,47,82,70
19990420,82,21,47,27,35,25
19990421,83,82,14,66,14,20
19990422,39,23,6,13,46,40
19990423,52,83,44,0,47,50
19990424,5,81,54,14,97,24
19990425,17,2,40,54,61,80
19990426,94,13,41,90,77,61
19990427,43,72,7,7,55,90
19990428,64,16,0,55,81,78
19990429,2,35,3,51,89,58
19990430,49,18,3,33,61,64
19990431,13,49,32,80,95,46
19990432,7,56,97,68,6,35
19990433,51,81,91,23,57,55
19990434,21,13,47,73,9,43
19990435,26,62,23,61,65,76
19990436,65,93,18,13,65,7
19990437,78,2,19,64,87,59
19990438,80,40,20,9,4,92
19990439,79,69,33,7,68,83
19990440,49,17,24,3,31,60
19990441,67,99,51,60,23,21
19990442,23,49,9,94,5,49
19990443,3,19,24,36,54,71
19990444,40,81,20,98,27,33
19990445,75,5,91,88,91,84
19990446,14,51,86,8,14,26
19990447,63,33,34,19,17,95
19990448,9,86,63,90,70,17
19990449,56,36,78,26,46,19
19990450,26,43,51,71,49,52
19990451,56,58,99,45,47,99
19990452,12,13,54,33,72,30
19990453,46,23,40,1,52,5
19990454,67,5,80,35,85,46
19990455,56,28,30,6,98,46
19990456,35,25,76,33,64,45
19990457,4,21,92,39,13,94
19990458,5,50,82,34,30,33
19990459,64,54,33,28,12,19
19990460,51,53,37,92,18,85
19990461,55,60,49,3,16,91
19990462,66,52,38,3,13,10
19990463,71,28,38,48,97,75
19990464,96,77,89,52,86,33
19990465,75,14,11,75,92,8
19990466,65,34,34,15,98,4
19990467,19,98,89,74,99,66
19990468,97,65,66,72,61,26
19990469,9,15,85,78,60,50
19990470,14,18,54,27,78,98
19990471,16,71,30,2,20,28
19990472,96,11,71,66,94,89
19990473,25,10,51,65,51,60
19990474,2,76,50,82,11,45
19990475,1,56,30,27,16,67
19990476,73,15,31,88,9,18
19990477,26,53,63,46,9,98
19990478,6,53,38,59,64,37
19990479,55,48,16,33,3,4
19990480,68,73,44,72,87,52
19990481,73,74,88,53,24,7
19990482,75,29,27,16,68,23
19990483,34,9,31,20,83,36
19990484,89,26,12,98,28,10
19990485,1,32,4,54,20,2
19990486,82,71,62,62,99,16
19990487,4,5,52,54,53,11
19990488,17,2,54,71,91,76
19990489,18,33,16,18,95,31
19990490,29,40,77,37,1,46
19990491,69,70,45,38,5,45
19990492,29,65,99,72,65,99
19990493,47,57,4,9,30,59
19990494,98,80,58,33,77,99
19990495,38,9,10,55,48,89
19990496,64,5,67,48,75,55
19990497,86,27,5,28,77,25
19990498,9,62,38,15,97,68
19990499,68,11,71,22,16,26
19990500,56,26,68,44,31,7
19990501,90,21,41,77,85,44
19990502,37,21,13,18,7,71
19990503,66,45,20,94,40,15
19990504,21,40,68,91,83,88
19990505,98,90,32,4,50,3
19990506,69,12,41,23,1,16
19990507,19,28,32,15,2,1
19990508,29,81,83,30,70,32
19990509,20,12,95,89,82,56
19990510,92,96,42,28,85,74
19990511,67,1,82,64,47,51
19990512,88,19,28,21,31,17
19990513,57,43,94,54,66,14
19990514,88,43,50,95,43,89
19990515,48,64,77,88,37,3
19990516,28,48,79,10,94,69
19990517,52,71,1,34,11,19
19990518,38,42,23,17,16,56
19990519,22,99,35,86,22,89
19990520,20,34,8,43,54,11
19990521,74,19,45,35,13,78
19990522,18,95,17,58,84,17
19990523,74,23,15,13,60,35
19990524,46,3,25,66,57,40
19990525,19,0,44,93,73,88
19990526,19,68,72,50,89,94
19990527,10,36,9,12,3,9
19990528,21,34,76,77,72,15
19990529,20,55,6,4,20,35
19990530,1,96,22,16,31,58
19990531,35,35,81,10,4,74
19990532,80,30,27,41,90,19
19990533,41,96,36,82,93,67
19990534,2,40,58,78,7,56
19990535,3,31,27,18,26,22
19990536,30,77,23,41,65,55
19990537,4,11,69,71,50,16
19990538,42,12,47,83,14,43
19990539,1,77,85,77,92,45
19990540,85,70,89,74,53,96
19990541,87,78,98,62,53,5
19990542,71,21,94,83,13,72
19990543,24,43,86,40,62,45
19990544,83,5,45,1,71,90
19990545,26,85,26,20,6,7
19990546,43,41,54,81,49,94
19990547,55,78,16,33,48,77
19990548,57,61,42,52,98,21
19990549,80,41,95,81,54,6
19990550,49,56,94,64,15,20
19990551,65,61,73,4,40,1
19990552,28,21,60,21,57,46
19990553,32,34,68,98,74,20
19990554,73,49,88,25,66,28
19990555,26,45,61,88,89,71
19990556,54,14,49,38,53,52
19990557,69,7,0,26,14,42
19990558,43,10,42,15,36,89
19990559,29,80,2,53,86,93
19990560,71,32,14,93,30,71
19990561,74,31,82,10,54,36
19990562,73,28,43,69,9,30
19990563,27,97,42,28,28,88
19990564,65,56,7,15,39,23
19990565,75,41,8,34,70,88
19990566,45,84,85,87,80,35
19990567,83,88,7,93,90,8
19990568,71,95,41,74,40,14
19990569,82,98,64,22,90,50
19990570,1,75,80,48,13,96
19990571,62,79,20,72,45,29
19990572,25,28,97,1,95,43
19990573,6,49,0,20,71,80
19990574,76,81,5,47,74,46
19990575,56,28,60,37,31,29
19990576,4,16,87,38,26,48
19990577,82,93,18,13,99,11
19990578,51,30,45,83,51,92
19990579,7,64,72,94,84,41
19990580,32,29,55,99,48,42
19990581,62,30,54,43,4,10
19990582,65,65,86,47,94,91
19990583,87,31,22,4,91,60
19990584,21,86,59,47,86,75
19990585,38,17,52,63,15,3
19990586,71,45,95,75,83,26
19990587,42,96,11,90,37,34
19990588,57,81,43,88,93,95
19990589,39,85,59,44,76,1
19990590,21,76,41,94,29,49
19990591,98,73,12,70,5,72
19990592,10,26,52,93,23,78
19990593,2,47,91,51,45,15
19990594,83,98,14,87,16,15
19990595,4,51,50,33,35,88
19990596,55,53,5,35,82,85
19990597,58,97,71,69,57,70
19990598,8,49,34,63,29,48
19990599,43,74,81,53,39,34
19990600,96,50,26,66,84,77
19990601,41,38,49,19,93,29
19990602,81,17,71,9,22,97
19990603,98,7,4,75,23,70
19990604,91,98,68,95,72,74
19990605,74,56,64,42,65,75
19990606,32,24,4,51,31,4
19990607,0,45,44,45,82,64
19990608,88,57,36,85,52,80
19990609,87,72,3,67,73,3
19990610,50,77,34,74,83,31
19990611,3,5,26,20,81,28
19990612,91,46,62,50,88,16
19990613,8,61,51,90,46,64
19990614,24,75,32,71,74,57
19990615,7,2,89,18,71,16
19990616,37,92,12,68,24,50
19990617,36,62,73,95,35,36
19990618,59,0,30,28,19,79
19990619,4,71,27,42,5,93
19990620,19,85,82,13,11,28
19990621,81,23,60,81,40,43
19990622,56,97,41,76,18,17
19990623,5,11,72,76,81,95
19990624,92,16,33,10,84,27
19990625,73,56,41,52,10,48
19990626,25,74,33,49,49,31
19990627,2,16,90,86,36,51
19990628,10,3,21,43,6,94
19990629,11,68,80,17,29,89
19990630,93,11,81,29,16,24
19990631,53,87,77,48,21,23
19990632,3,91,32,61,74,98
19990633,63,46,39,97,4,3
19990634,88,28,30,54,87,23
19990635,92,55,73,15,69,43
19990636,4,84,19,10,90,86
19990637,32,36,42,8,68,59
19990638,71,65,34,73,82,85
19990639,87,20,64,86,56,2
19990640,23,36,52,94,11,4
19990641,74,14,21,67,63,99
19990642,10,35,31,2,62,21
19990643,61,45,79,93,64,1
19990644,56,70,77,52,38,22
19990645,14,64,35,58,14,49
19990646,6,43,91,56,19,92
19990647,2,40,76,59,33,52
19990648,60,75,15,30,69,39
19990649,10,62,16,74,90,91
19990650,50,93,18,13,70,3
19990651,22,41,1,47,20,46
19990652,7,2,46,54,7,31
19990653,22,95,35,90,74,65
19990654,41,53,51,6,54,55
19990655,94,13,45,79,12,74
19990656,37,28,54,14,74,94
19990657,77,1,28,7,44,27
19990658,70,34,16,81,95,62
19990659,52,98,97,54,29,2
19990660,70,78,26,12,91,91
19990661,93,74,64,58,22,33
19990662,95,36,4,3,31,11
19990663,25,64,87,61,92,28
19990664,19,44,75,74,12,0
19990665,68,80,9,63,2,36
19990666,15,92,76,37,83,21
19990667,2,80,30,0,23,71
19990668,61,3,84,31,81,92
19990669,40,87,47,65,2,3
19990670,31,82,43,34,48,68
19990671,34,53,22,95,99,19
19990672,67,43,74,43,24,42
19990673,99,93,75,50,48,94
19990674,94,40,66,42,17,85
19990675,89,33,28,88,12,95
19990676,86,62,68,73,14,83
19990677,60,92,38,2,16,95
19990678,25,11,67,1,13,17
19990679,21,75,51,82,61,41
19990680,18,95,22,3,1,98
19990681,5,87,16,32,43,18
19990682,66,97,59,95,77,60
19990683,85,49,23,69,79,12
19990684,72,8,18,45,56,92
19990685,16,46,8,17,86,39
19990686,51,80,92,36,47,43
19990687,43,82,23,93,29,47
19990688,30,24,80,76,75,54
19990689,38,11,57,57,62,33
19990690,80,7,44,42,6,24
19990691,82,52,86,32,34,38
19990692,0,70,47,78,25,3
19990693,2,6,64,42,53,20
19990694,22,21,59,99,19,99
19990695,97,29,23,37,17,57
19990696,91,36,41,49,86,4
19990697,30,3,15,20,33,74
19990698,57,38,49,48,17,6
19990699,12,20,40,94,61,2
19990700,97,14,56,74,53,33
19990701,37,73,46,30,60,82
19990702,63,37,53,35,31,1
19990703,32,68,64,64,64,24
19990704,14,9,35,23,45,21
19990705,27,5,40,94,53,3
19990706,16,88,22,39,47,23
19990707,8,61,95,60,37,48
19990708,51,17,86,20,55,92
19990709,12,84,72,78,42,78
19990710,54,59,17,51,43,95
19990711,91,31,98,64,21,48
19990712,49,28,95,95,90,8
19990713,12,47,18,46,32,33
19990714,90,66,5,55,72,80
19990715,25,74,42,88,99,6
19990716,67,70,19,56,97,54
19990717,84,82,71,77,45,99
19990718,88,2,35,92,18,62
19990719,17,54,42,60,91,22
19990720,6,5,91,85,10,19
19990721,92,86,87,85,72,99
19990722,46,44,17,10,94,77
19990723,8,91,97,79,96,7
19990724,14,55,42,57,26,55
19990725,88,81,31,93,56,46
19990726,80,60,28,62,97,86
19990727,16,86,80,58,54,7
19990728,17,94,82,1,25,89
19990729,33,10,6,90,20,80
19990730,69,71,71,48,83,43
19990731,3,61,98,88,3,2
19990732,19,91,2,34,57,39
19990733,19,30,89,5,57,89
19990734,88,22,27,83,45,67
19990735,24,80,65,81,80,73
19990736,6,54,36,28,93,10
19990737,50,79,68,40,25,9
19990738,22,87,0,52,58,12
19990739,75,32,91,34,65,78
19990740,40,88,4,33,81,59
19990741,80,36,99,69,25,77
19990742,40,95,50,11,61,91
19990743,68,76,98,20,52,87
19990744,37,51,85,81,59,96
19990745,28,67,81,16,55,35
19990746,35,19,74,42,81,42
19990747,51,55,40,20,8,33
19990748,6,83,34,72,59,28
19990749,30,79,43,83,84,72
19990750,70,5,14,19,25,90
19990751,77,25,78,90,41,66
19990752,6,30,1,9,19,2
19990753,0,47,59,43,79,64
19990754,19,54,93,15,61,77
19990755,67,10,1,17,89,70
19990756,91,80,66,51,69,76
19990757,76,6,49,84,41,76
19990758,61,38,29,12,73,83
19990759,66,6,77,72,86,55
19990760,37,11,9,97,0,83
19990761,54,90,79,82,23,2
19990762,11,35,55,3,86,37
19990763,92,84,68,36,15,91
19990764,23,90,9,38,2,25
19990765,4,26,84,82,46,98
19990766,71,93,9,90,42,13
19990767,53,13,60,23,56,68
19990768,55,73,11,16,14,6
19990769,6,30,50,80,92,97
19990770,15,24,12,53,85,14
19990771,97,51,23,89,33,68
19990772,77,70,24,30,83,16
19990773,47,26,43,0,83,95
19990774,7,56,44,37,60,18
19990775,8,73,98,62,54,27
19990776,49,85,19,42,95,96
19990777,25,28,85,19,56,14
19990778,93,70,78,49,2,56
19990779,49,28,50,82,98,22
19990780,60,54,30,30,61,80
19990781,77,40,92,79,59,4
19990782,57,68,93,59,76,44
19990783,63,76,81,30,77,14
19990784,90,75,27,16,58,34
19990785,19,25,36,3,80,15
19990786,92,4,84,70,89,98
19990787,50,96,37,2,24,31
19990788,44,12,17,18,49,78
19990789,41,57,93,9,48,9
19990790,75,66,77,8,80,15
19990791,33,65,78,82,65,56
19990792,14,99,17,39,10,26
19990793,87,57,24,75,13,40
19990794,12,25,58,15,87,69
19990795,34,13,26,83,6,21
19990796,27,76,25,0,55,12
19990797,77,55,27,45,22,68
19990798,49,31,83,59,31,82
19990799,30,54,6,15,5,95
19990800,35,0,95,57,93,8
19990801,47,15,24,43,3,36
19990802,12,78,72,17,37,84
19990803,42,28,12,81,28,8
19990804,39,13,98,14,0,51
19990805,3,34,24,52,60,45
19990806,48,88,84,4,62,54
19990807,33,57,99,39,50,21
19990808,1,99,69,62,72,71
19990809,48,23,66,24,80,78
19990810,19,71,16,51,8,87
19990811,67,53,54,6,99,90
19990812,29,29,43,28,56,48
19990813,83,67,52,18,93,35
19990814,11,40,64,81,16,93
19990815,90,92,73,5,28,12
19990816,7,63,29,40,48,62
19990817,0,59,15,95,62,26
19990818,2,33,11,71,73,12
19990819,56,15,5,99,73,12
19990820,32,83,76,60,93,84
19990821,54,38,83,82,37,32
19990822,82,10,75,5,84,62
19990823,75,37,9,49,60,32
19990824,65,42,32,36,27,3
19990825,37,4,37,52,81,39
19990826,32,37,44,72,31,31
19990827,17,63,71,39,71,54
19990828,35,40,11,61,30,19
19990829,23,46,89,41,85,39
19990830,0,60,19,98,72,35
19990831,99,21,13,13,63,10
19990832,23,96,76,8,69,22
19990833,94,53,14,78,49,45
19990834,90,54,74,28,64,75
19990835,86,88,56,64,46,47
19990836,81,48,18,82,84,97
19990837,70,71,18,63,22,92
19990838,89,32,40,37,66,45
19990839,25,93,2,22,17,26
19990840,79,24,81,65,95,44
19990841,22,40,80,87,95,78
19990842,86,8,62,0,77,8
19990843,60,47,95,49,8,99
19990844,35,57,51,76,78,80
19990845,51,13,74,54,81,2
19990846,34,89,83,97,83,37
19990847,72,60,81,84,76,77
19990848,22,83,65,89,92,0
19990849,57,99,83,32,38,95
19990850,62,23,79,71,68,80
19990851,93,11,91,8,81,83
19990852,74,71,47,3,71,66
19990853,33,45,54,96,1,13
19990854,44,81,58,0,59,21
19990855,72,57,75,1,16,84
19990856,88,88,81,57,99,89
19990857,38,34,13,16,36,85
19990858,91,64,38,32,61,49
19990859,9,81,95,8,49,89
19990860,50,66,45,37,4,48
19990861,11,39,81,83,32,17
19990862,50,22,37,74,57,12
19990863,33,75,56,7,67,60
19990864,67,77,65,23,97,77
19990865,12,46,24,23,62,85
19990866,74,12,31,5,33,91
19990867,92,4,93,1,39,53
19990868,64,45,36,80,50,73
19990869,27,24,48,54,94,72
19990870,87,77,22,84,33,3
19990871,98,62,92,46,75,23
19990872,10,34,88,36,83,93
