ID,国語,判定
19990400,32, 
19990401,10, 
19990402,12, 
19990403,84, 
19990404,67, 
19990405,76, 
19990406,50, 
19990407,28, 
19990408,41, 
19990409,31, 
19990410,46, 
19990411,1, 
19990412,94, 
19990413,83, 
19990414,39, 
19990415,46, 
19990416,13, 
19990417,98, 
19990418,20, 
19990419,13, 
19990420,83, 
19990421,63, 
19990422,93, 
19990423,25, 
19990424,28, 
19990425,9, 
19990426,16, 
19990427,5, 
19990428,62, 
19990429,29, 
19990430,5, 
19990431,23, 
19990432,85, 
19990433,43, 
19990434,59, 
19990435,65, 
19990436,94, 
19990437,38, 
19990438,20, 
19990439,59, 
19990440,55, 
19990441,40, 
19990442,5, 
19990443,86, 
19990444,20, 
19990445,10, 
19990446,79, 
19990447,44, 
19990448,38, 
19990449,89, 
19990450,82, 
19990451,2, 
19990452,30, 
19990453,97, 
19990454,16, 
19990455,97, 
19990456,79, 
19990457,49, 
19990458,4, 
19990459,0, 
19990460,25, 
19990461,75, 
19990462,56, 
19990463,60, 
19990464,85, 
19990465,69, 
19990466,20, 
19990467,52, 
19990468,79, 
19990469,76, 
19990470,26, 
19990471,40, 
19990472,12, 
19990473,96, 
19990474,41, 
19990475,1, 
19990476,3, 
19990477,13, 
19990478,10, 
19990479,69, 
19990480,39, 
19990481,19, 
19990482,72, 
19990483,15, 
19990484,76, 
19990485,75, 
19990486,42, 
19990487,34, 
19990488,50, 
19990489,65, 
19990490,51, 
19990491,3, 
19990492,2, 
19990493,74, 
19990494,14, 
19990495,99, 
19990496,4, 
19990497,13, 
19990498,73, 
19990499,41, 
19990500,31, 
19990501,69, 
19990502,42, 
19990503,9, 
19990504,65, 
19990505,17, 
19990506,34, 
19990507,8, 
19990508,91, 
19990509,66, 
19990510,45, 
19990511,13, 
19990512,90, 
19990513,47, 
19990514,11, 
19990515,3, 
19990516,89, 
19990517,62, 
19990518,67, 
19990519,70, 
19990520,23, 
19990521,17, 
19990522,17, 
19990523,80, 
19990524,49, 
19990525,1, 
19990526,3, 
19990527,84, 
19990528,15, 
19990529,11, 
19990530,36, 
19990531,11, 
19990532,54, 
19990533,50, 
19990534,80, 
19990535,32, 
19990536,68, 
19990537,83, 
19990538,77, 
19990539,87, 
19990540,38, 
19990541,42, 
19990542,37, 
19990543,91, 
19990544,46, 
19990545,46, 
19990546,72, 
19990547,16, 
19990548,0, 
19990549,32, 
19990550,98, 
19990551,65, 
19990552,31, 
19990553,43, 
19990554,76, 
19990555,87, 
19990556,71, 
19990557,28, 
19990558,19, 
19990559,71, 
19990560,72, 
19990561,88, 
19990562,54, 
19990563,94, 
19990564,21, 
19990565,93, 
19990566,79, 
19990567,39, 
19990568,66, 
19990569,91, 
19990570,62, 
19990571,30, 
19990572,60, 
19990573,92, 
19990574,68, 
19990575,53, 
19990576,49, 
19990577,91, 
19990578,15, 
19990579,80, 
19990580,37, 
19990581,45, 
19990582,52, 
19990583,80, 
19990584,10, 
19990585,12, 
19990586,5, 
19990587,2, 
19990588,69, 
19990589,64, 
19990590,58, 
19990591,17, 
19990592,75, 
19990593,72, 
19990594,39, 
19990595,59, 
19990596,81, 
19990597,35, 
19990598,29, 
19990599,91, 
19990600,32, 
19990601,15, 
19990602,89, 
19990603,49, 
19990604,79, 
19990605,35, 
19990606,96, 
19990607,64, 
19990608,36, 
19990609,2, 
19990610,75, 
19990611,22, 
19990612,75, 
19990613,16, 
19990614,28, 
19990615,39, 
19990616,95, 
19990617,28, 
19990618,48, 
19990619,11, 
19990620,62, 
19990621,82, 
19990622,58, 
19990623,85, 
19990624,69, 
19990625,83, 
19990626,53, 
19990627,51, 
19990628,80, 
19990629,92, 
19990630,19, 
19990631,78, 
19990632,73, 
19990633,60, 
19990634,33, 
19990635,0, 
19990636,41, 
19990637,76, 
19990638,98, 
19990639,47, 
19990640,55, 
19990641,68, 
19990642,63, 
19990643,95, 
19990644,68, 
19990645,94, 
19990646,45, 
19990647,7, 
19990648,71, 
19990649,78, 
19990650,9, 
19990651,56, 
19990652,9, 
19990653,69, 
19990654,23, 
19990655,65, 
19990656,70, 
19990657,43, 
19990658,67, 
19990659,6, 
19990660,39, 
19990661,71, 
19990662,61, 
19990663,63, 
19990664,95, 
19990665,10, 
19990666,96, 
19990667,79, 
19990668,21, 
19990669,86, 
19990670,76, 
19990671,17, 
19990672,86, 
19990673,49, 
19990674,37, 
19990675,65, 
19990676,10, 
19990677,76, 
19990678,48, 
19990679,90, 
19990680,9, 
19990681,94, 
19990682,68, 
19990683,53, 
19990684,69, 
19990685,78, 
19990686,55, 
19990687,81, 
19990688,94, 
19990689,71, 
19990690,71, 
19990691,49, 
19990692,29, 
19990693,11, 
19990694,63, 
19990695,31, 
19990696,69, 
19990697,91, 
19990698,49, 
19990699,3, 
19990700,39, 
19990701,93, 
19990702,25, 
19990703,0, 
19990704,84, 
19990705,77, 
19990706,28, 
19990707,34, 
19990708,5, 
19990709,44, 
19990710,98, 
19990711,9, 
19990712,91, 
19990713,79, 
19990714,88, 
19990715,93, 
19990716,29, 
19990717,98, 
19990718,45, 
19990719,88, 
19990720,18, 
19990721,58, 
19990722,9, 
19990723,16, 
19990724,21, 
19990725,43, 
19990726,1, 
19990727,3, 
19990728,12, 
19990729,87, 
19990730,15, 
19990731,86, 
19990732,0, 
19990733,61, 
19990734,19, 
19990735,32, 
19990736,24, 
19990737,65, 
19990738,89, 
19990739,15, 
19990740,47, 
19990741,81, 
19990742,61, 
19990743,20, 
19990744,85, 
19990745,30, 
19990746,24, 
19990747,83, 
19990748,39, 
19990749,2, 
19990750,11, 
19990751,64, 
19990752,3, 
19990753,43, 
19990754,61, 
19990755,25, 
19990756,63, 
19990757,75, 
19990758,66, 
19990759,46, 
19990760,49, 
19990761,71, 
19990762,22, 
19990763,76, 
19990764,82, 
19990765,10, 
19990766,22, 
19990767,72, 
19990768,5, 
19990769,82, 
19990770,14, 
19990771,30, 
19990772,41, 
19990773,93, 
19990774,79, 
19990775,19, 
19990776,21, 
19990777,82, 
19990778,89, 
19990779,94, 
19990780,36, 
19990781,11, 
19990782,58, 
19990783,18, 
19990784,9, 
19990785,59, 
19990786,79, 
19990787,13, 
19990788,92, 
19990789,2, 
19990790,35, 
19990791,29, 
19990792,35, 
19990793,15, 
19990794,28, 
19990795,52, 
19990796,81, 
19990797,85, 
19990798,27, 
19990799,87, 
19990800,74, 
19990801,51, 
19990802,50, 
19990803,84, 
19990804,3, 
19990805,15, 
19990806,89, 
19990807,66, 
19990808,76, 
19990809,77, 
19990810,99, 
19990811,30, 
19990812,80, 
19990813,30, 
19990814,24, 
19990815,11, 
19990816,13, 
19990817,2, 
19990818,25, 
19990819,33, 
19990820,5, 
19990821,51, 
19990822,7, 
19990823,55, 
19990824,32, 
19990825,49, 
19990826,45, 
19990827,8, 
19990828,45, 
19990829,29, 
19990830,87, 
19990831,38, 
19990832,65, 
19990833,1, 
19990834,85, 
19990835,27, 
19990836,48, 
19990837,96, 
19990838,34, 
19990839,15, 
19990840,15, 
19990841,83, 
19990842,90, 
19990843,93, 
19990844,12, 
19990845,29, 
19990846,34, 
19990847,65, 
19990848,65, 
19990849,7, 
19990850,10, 
19990851,21, 
19990852,95, 
19990853,83, 
19990854,41, 
19990855,87, 
19990856,38, 
19990857,33, 
19990858,62, 
19990859,15, 
19990860,97, 
19990861,51, 
19990862,66, 
19990863,77, 
19990864,13, 
19990865,18, 
19990866,87, 
19990867,86, 
19990868,38, 
19990869,16, 
19990870,75, 
19990871,71, 
19990872,88, 
19990873,40, 
19990874,99, 
19990875,31, 
19990876,49, 
19990877,16, 
19990878,45, 
19990879,81, 
19990880,12, 
19990881,86, 
19990882,89, 
19990883,41, 
19990884,5, 
19990885,62, 
19990886,89, 
19990887,29, 
19990888,90, 
19990889,23, 
19990890,24, 
19990891,67, 
19990892,63, 
19990893,87, 
19990894,6, 
19990895,86, 
19990896,0, 
19990897,75, 
19990898,64, 
19990899,39, 
19990900,34, 
19990901,11, 
19990902,50, 
19990903,58, 
19990904,58, 
19990905,33, 
19990906,36, 
19990907,93, 
19990908,58, 
19990909,57, 
19990910,82, 
19990911,79, 
19990912,53, 
19990913,95, 
19990914,10, 
19990915,10, 
19990916,37, 
19990917,63, 
19990918,92, 
19990919,74, 
19990920,7, 
19990921,70, 
19990922,66, 
19990923,11, 
19990924,88, 
19990925,76, 
19990926,46, 
19990927,92, 
19990928,97, 
19990929,96, 
19990930,82, 
19990931,56, 
19990932,20, 
19990933,22, 
19990934,52, 
19990935,29, 
19990936,25, 
19990937,72, 
19990938,67, 
19990939,14, 
19990940,65, 
19990941,77, 
19990942,97, 
19990943,44, 
19990944,70, 
19990945,16, 
19990946,34, 
19990947,6, 
19990948,47, 
19990949,40, 
19990950,98, 
19990951,92, 
19990952,54, 
19990953,84, 
19990954,54, 
19990955,46, 
19990956,84, 
19990957,89, 
19990958,62, 
19990959,16, 
19990960,65, 
19990961,26, 
19990962,26, 
19990963,27, 
19990964,53, 
19990965,86, 
19990966,93, 
19990967,16, 
19990968,41, 
19990969,88, 
19990970,38, 
19990971,98, 
19990972,33, 
19990973,63, 
19990974,46, 
19990975,42, 
19990976,21, 
19990977,18, 
19990978,69, 
19990979,85, 
19990980,80, 
19990981,45, 
19990982,41, 
19990983,18, 
19990984,63, 
19990985,1, 
19990986,47, 
19990987,45, 
19990988,86, 
19990989,7, 
19990990,4, 
19990991,31, 
19990992,50, 
19990993,66, 
19990994,97, 
19990995,12, 
19990996,13, 
19990997,43, 
19990998,71, 
19990999,33, 
19991000,39, 
19991001,32, 
19991002,60, 
19991003,90, 
19991004,80, 
19991005,80, 
19991006,31, 
19991007,71, 
19991008,93, 
19991009,6, 
19991010,13, 
19991011,63, 
19991012,26, 
19991013,53, 
19991014,14, 
19991015,75, 
19991016,65, 
19991017,41, 
19991018,57, 
19991019,15, 
19991020,80, 
19991021,78, 
19991022,94, 
19991023,82, 
19991024,34, 
19991025,51, 
19991026,98, 
19991027,25, 
19991028,25, 
19991029,96, 
19991030,96, 
19991031,7, 
19991032,87, 
19991033,34, 
19991034,27, 
19991035,81, 
19991036,7, 
19991037,43, 
19991038,95, 
19991039,96, 
19991040,36, 
19991041,30, 
19991042,90, 
19991043,1, 
19991044,8, 
19991045,20, 
19991046,61, 
19991047,69, 
19991048,67, 
19991049,39, 
19991050,26, 
19991051,91, 
19991052,38, 
19991053,29, 
19991054,77, 
19991055,36, 
19991056,75, 
19991057,87, 
19991058,73, 
19991059,36, 
19991060,23, 
19991061,88, 
19991062,68, 
19991063,23, 
19991064,1, 
19991065,21, 
19991066,3, 
19991067,74, 
19991068,26, 
19991069,83, 
19991070,8, 
19991071,54, 
19991072,31, 
19991073,56, 
19991074,83, 
19991075,29, 
19991076,30, 
19991077,90, 
19991078,34, 
19991079,37, 
19991080,64, 
19991081,77, 
19991082,77, 
19991083,86, 
19991084,44, 
19991085,90, 
19991086,91, 
19991087,4, 
19991088,74, 
19991089,42, 
19991090,36, 
19991091,18, 
19991092,67, 
19991093,7, 
19991094,44, 
19991095,15, 
19991096,81, 
19991097,43, 
19991098,99, 
19991099,8, 
19991100,78, 
19991101,44, 
19991102,17, 
19991103,73, 
19991104,70, 
19991105,29, 
19991106,70, 
19991107,4, 
19991108,10, 
19991109,52, 
19991110,81, 
19991111,76, 
19991112,34, 
19991113,95, 
19991114,92, 
19991115,50, 
19991116,28, 
19991117,54, 
19991118,93, 
19991119,57, 
19991120,53, 
19991121,25, 
19991122,60, 
19991123,62, 
19991124,8, 
19991125,17, 
19991126,26, 
19991127,23, 
19991128,56, 
19991129,96, 
19991130,57, 
19991131,50, 
19991132,96, 
19991133,78, 
19991134,50, 
19991135,30, 
19991136,92, 
19991137,57, 
19991138,40, 
19991139,78, 
19991140,9, 
19991141,67, 
19991142,52, 
19991143,96, 
19991144,16, 
19991145,4, 
19991146,39, 
19991147,25, 
19991148,90, 
19991149,51, 
19991150,42, 
19991151,58, 
19991152,7, 
19991153,90, 
19991154,92, 
19991155,58, 
19991156,24, 
19991157,95, 
19991158,4, 
19991159,52, 
19991160,61, 
19991161,70, 
19991162,55, 
19991163,96, 
19991164,62, 
19991165,48, 
19991166,26, 
19991167,45, 
19991168,60, 
19991169,58, 
19991170,34, 
19991171,28, 
19991172,72, 
19991173,37, 
19991174,39, 
19991175,31, 
19991176,37, 
19991177,72, 
19991178,96, 
19991179,64, 
19991180,2, 
19991181,88, 
19991182,83, 
19991183,71, 
19991184,22, 
19991185,9, 
19991186,47, 
19991187,13, 
19991188,84, 
19991189,51, 
19991190,38, 
19991191,63, 
19991192,92, 
19991193,68, 
19991194,39, 
19991195,28, 
19991196,50, 
19991197,10, 
19991198,70, 
19991199,83, 
19991200,7, 
19991201,85, 
19991202,34, 
19991203,35, 
19991204,97, 
19991205,32, 
19991206,4, 
19991207,47, 
19991208,64, 
19991209,31, 
19991210,4, 
19991211,22, 
19991212,86, 
19991213,41, 
19991214,63, 
19991215,82, 
19991216,16, 
19991217,52, 
19991218,51, 
19991219,88, 
19991220,99, 
19991221,2, 
19991222,6, 
19991223,48, 
19991224,96, 
19991225,37, 
19991226,27, 
19991227,11, 
19991228,80, 
19991229,99, 
19991230,74, 
19991231,69, 
19991232,44, 
19991233,51, 
19991234,69, 
19991235,21, 
19991236,29, 
19991237,35, 
19991238,3, 
19991239,57, 
19991240,90, 
19991241,59, 
19991242,56, 
19991243,83, 
19991244,85, 
19991245,42, 
19991246,34, 
19991247,81, 
19991248,1, 
19991249,7, 
19991250,28, 
19991251,60, 
19991252,44, 
19991253,65, 
19991254,63, 
19991255,27, 
19991256,18, 
19991257,17, 
19991258,94, 
19991259,88, 
19991260,46, 
19991261,41, 
19991262,65, 
19991263,49, 
19991264,79, 
19991265,84, 
19991266,27, 
19991267,83, 
19991268,92, 
19991269,40, 
19991270,68, 
19991271,71, 
19991272,90, 
19991273,23, 
19991274,3, 
19991275,10, 
19991276,1, 
19991277,15, 
19991278,24, 
19991279,8, 
19991280,19, 
19991281,47, 
19991282,17, 
19991283,72, 
19991284,63, 
19991285,16, 
19991286,54, 
19991287,10, 
19991288,85, 
19991289,60, 
19991290,90, 
19991291,22, 
19991292,62, 
19991293,83, 
19991294,82, 
19991295,78, 
19991296,82, 
19991297,24, 
19991298,42, 
19991299,89, 
19991300,76, 
19991301,62, 
19991302,9, 
19991303,48, 
19991304,32, 
19991305,77, 
19991306,80, 
19991307,60, 
19991308,43, 
19991309,68, 
19991310,9, 
19991311,18, 
19991312,77, 
19991313,8, 
19991314,29, 
19991315,9, 
19991316,66, 
19991317,30, 
19991318,24, 
19991319,34, 
19991320,26, 
19991321,42, 
19991322,16, 
19991323,52, 
19991324,90, 
19991325,59, 
19991326,83, 
19991327,88, 
19991328,29, 
19991329,50, 
19991330,23, 
19991331,13, 
19991332,58, 
19991333,91, 
19991334,71, 
19991335,9, 
19991336,12, 
19991337,3, 
19991338,60, 
19991339,83, 
19991340,5, 
19991341,14, 
19991342,20, 
19991343,45, 
19991344,83, 
19991345,87, 
19991346,52, 
19991347,80, 
19991348,45, 
19991349,5, 
19991350,47, 
19991351,86, 
19991352,20, 
19991353,4, 
19991354,72, 
19991355,44, 
19991356,14, 
19991357,85, 
19991358,70, 
19991359,9, 
19991360,63, 
19991361,32, 
19991362,60, 
19991363,52, 
19991364,36, 
19991365,95, 
19991366,80, 
19991367,15, 
19991368,70, 
19991369,35, 
19991370,95, 
19991371,94, 
19991372,50, 
19991373,58, 
19991374,85, 
19991375,57, 
19991376,49, 
19991377,14, 
19991378,9, 
19991379,37, 
19991380,76, 
19991381,59, 
19991382,5, 
19991383,15, 
19991384,58, 
19991385,56, 
19991386,45, 
19991387,41, 
19991388,12, 
19991389,11, 
19991390,8, 
19991391,51, 
19991392,80, 
19991393,54, 
19991394,47, 
19991395,41, 
19991396,36, 
19991397,15, 
19991398,7, 
19991399,47, 
19991400,11, 
19991401,38, 
19991402,78, 
19991403,2, 
19991404,45, 
19991405,45, 
19991406,6, 
19991407,33, 
19991408,10, 
19991409,36, 
19991410,5, 
19991411,58, 
19991412,94, 
19991413,88, 
19991414,85, 
19991415,50, 
19991416,68, 
19991417,88, 
19991418,37, 
19991419,49, 
19991420,72, 
19991421,33, 
19991422,8, 
19991423,83, 
19991424,73, 
19991425,15, 
19991426,68, 
19991427,64, 
19991428,94, 
19991429,82, 
19991430,11, 
19991431,42, 
19991432,54, 
19991433,67, 
19991434,76, 
19991435,13, 
19991436,7, 
19991437,93, 
19991438,45, 
19991439,4, 
19991440,13, 
19991441,41, 
19991442,94, 
19991443,45, 
19991444,17, 
19991445,94, 
19991446,69, 
19991447,53, 
19991448,57, 
19991449,14, 
19991450,87, 
19991451,44, 
19991452,46, 
19991453,97, 
19991454,73, 
19991455,64, 
19991456,39, 
19991457,99, 
19991458,70, 
19991459,58, 
19991460,7, 
19991461,76, 
19991462,34, 
19991463,23, 
19991464,85, 
19991465,38, 
19991466,78, 
19991467,22, 
19991468,33, 
19991469,63, 
19991470,8, 
19991471,69, 
19991472,0, 
19991473,0, 
19991474,22, 
19991475,93, 
19991476,72, 
19991477,11, 
19991478,32, 
19991479,85, 
19991480,50, 
19991481,85, 
19991482,51, 
19991483,27, 
19991484,45, 
19991485,61, 
19991486,88, 
19991487,30, 
19991488,93, 
19991489,71, 
19991490,11, 
19991491,72, 
19991492,58, 
19991493,81, 
19991494,84, 
19991495,39, 
19991496,79, 
19991497,25, 
19991498,36, 
19991499,79, 
19991500,64, 
19991501,41, 
19991502,93, 
19991503,64, 
19991504,46, 
19991505,92, 
19991506,0, 
19991507,73, 
19991508,72, 
19991509,16, 
19991510,49, 
19991511,8, 
19991512,46, 
19991513,31, 
19991514,93, 
19991515,23, 
19991516,66, 
19991517,86, 
19991518,67, 
19991519,82, 
19991520,41, 
19991521,26, 
19991522,8, 
19991523,11, 
19991524,35, 
19991525,4, 
19991526,50, 
19991527,62, 
19991528,33, 
19991529,83, 
19991530,8, 
19991531,94, 
19991532,20, 
19991533,4, 
19991534,85, 
19991535,87, 
19991536,12, 
19991537,67, 
19991538,15, 
19991539,39, 
19991540,47, 
19991541,17, 
19991542,15, 
19991543,97, 
19991544,56, 
19991545,94, 
19991546,32, 
19991547,76, 
19991548,12, 
19991549,40, 
19991550,56, 
19991551,83, 
19991552,24, 
19991553,83, 
19991554,12, 
19991555,97, 
19991556,27, 
19991557,22, 
19991558,86, 
19991559,51, 
19991560,68, 
19991561,47, 
19991562,64, 
19991563,37, 
19991564,51, 
19991565,13, 
19991566,30, 
19991567,75, 
19991568,78, 
19991569,56, 
19991570,12, 
19991571,38, 
19991572,42, 
19991573,98, 
19991574,97, 
19991575,8, 
19991576,92, 
19991577,79, 
19991578,86, 
19991579,78, 
19991580,63, 
19991581,89, 
19991582,5, 
19991583,83, 
19991584,66, 
19991585,82, 
19991586,22, 
19991587,8, 
19991588,60, 
19991589,79, 
19991590,49, 
19991591,61, 
19991592,65, 
19991593,56, 
19991594,30, 
19991595,26, 
19991596,34, 
19991597,87, 
19991598,84, 
19991599,10, 
19991600,44, 
19991601,82, 
19991602,87, 
19991603,89, 
19991604,55, 
19991605,54, 
19991606,57, 
19991607,59, 
19991608,83, 
19991609,84, 
19991610,77, 
19991611,71, 
19991612,32, 
19991613,27, 
19991614,8, 
19991615,70, 
19991616,31, 
19991617,49, 
19991618,69, 
19991619,37, 
19991620,8, 
19991621,2, 
19991622,59, 
19991623,34, 
19991624,62, 
19991625,94, 
19991626,52, 
19991627,93, 
19991628,78, 
19991629,58, 
19991630,91, 
19991631,97, 
19991632,77, 
19991633,37, 
19991634,5, 
19991635,83, 
19991636,41, 
19991637,74, 
19991638,81, 
19991639,68, 
19991640,78, 
19991641,51, 
19991642,52, 
19991643,67, 
19991644,7, 
19991645,92, 
19991646,52, 
19991647,93, 
19991648,95, 
19991649,72, 
19991650,85, 
19991651,19, 
19991652,49, 
19991653,64, 
19991654,55, 
19991655,1, 
19991656,57, 
19991657,33, 
19991658,97, 
19991659,28, 
19991660,74, 
19991661,0, 
19991662,98, 
19991663,66, 
19991664,68, 
19991665,78, 
19991666,28, 
19991667,61, 
19991668,21, 
19991669,64, 
19991670,23, 
19991671,55, 
19991672,32, 
19991673,1, 
19991674,76, 
19991675,66, 
19991676,52, 
19991677,28, 
19991678,93, 
19991679,15, 
19991680,60, 
19991681,62, 
19991682,44, 
19991683,26, 
19991684,24, 
19991685,46, 
19991686,60, 
19991687,88, 
19991688,51, 
19991689,16, 
19991690,75, 
19991691,43, 
19991692,79, 
19991693,8, 
19991694,40, 
19991695,44, 
19991696,19, 
19991697,36, 
19991698,21, 
19991699,39, 
19991700,57, 
19991701,3, 
19991702,60, 
19991703,46, 
19991704,66, 
19991705,47, 
19991706,11, 
19991707,98, 
19991708,38, 
19991709,99, 
19991710,51, 
19991711,20, 
19991712,12, 
19991713,12, 
19991714,85, 
19991715,93, 
19991716,40, 
19991717,16, 
19991718,31, 
19991719,41, 
19991720,65, 
19991721,53, 
19991722,5, 
19991723,88, 
19991724,0, 
19991725,20, 
19991726,31, 
19991727,48, 
19991728,69, 
19991729,31, 
19991730,30, 
19991731,98, 
19991732,69, 
19991733,7, 
19991734,66, 
19991735,47, 
19991736,23, 
19991737,15, 
19991738,83, 
19991739,53, 
19991740,98, 
19991741,47, 
19991742,45, 
19991743,13, 
19991744,25, 
19991745,83, 
19991746,79, 
19991747,68, 
