ID,数学,判定
19990489,33, 
19990490,40, 
19990491,70, 
19990492,65, 
19990493,57, 
19990494,80, 
19990495,9, 
19990496,5, 
19990497,27, 
19990498,62, 
19990499,11, 
19990500,26, 
19990501,21, 
19990502,21, 
19990503,45, 
19990504,40, 
19990505,90, 
19990506,12, 
19990507,28, 
19990508,81, 
19990509,12, 
19990510,96, 
19990511,1, 
19990512,19, 
19990513,43, 
19990514,43, 
19990515,64, 
19990516,48, 
19990517,71, 
19990518,42, 
19990519,99, 
19990520,34, 
19990521,19, 
19990522,95, 
19990523,23, 
19990524,3, 
19990525,0, 
19990526,68, 
19990527,36, 
19990528,34, 
19990529,55, 
19990530,96, 
19990531,35, 
19990532,30, 
19990533,96, 
19990534,40, 
19990535,31, 
19990536,77, 
19990537,11, 
19990538,12, 
19990539,77, 
19990540,70, 
19990541,78, 
19990542,21, 
19990543,43, 
19990544,5, 
19990545,85, 
19990546,41, 
19990547,78, 
19990548,61, 
19990549,41, 
19990550,56, 
19990551,61, 
19990552,21, 
19990553,34, 
19990554,49, 
19990555,45, 
19990556,14, 
19990557,7, 
19990558,10, 
19990559,80, 
19990560,32, 
19990561,31, 
19990562,28, 
19990563,97, 
19990564,56, 
19990565,41, 
19990566,84, 
19990567,88, 
19990568,95, 
19990569,98, 
19990570,75, 
19990571,79, 
19990572,28, 
19990573,49, 
19990574,81, 
19990575,28, 
19990576,16, 
19990577,93, 
19990578,30, 
19990579,64, 
19990580,29, 
19990581,30, 
19990582,65, 
19990583,31, 
19990584,86, 
19990585,17, 
19990586,45, 
19990587,96, 
19990588,81, 
19990589,85, 
19990590,76, 
19990591,73, 
19990592,26, 
19990593,47, 
19990594,98, 
19990595,51, 
19990596,53, 
19990597,97, 
19990598,49, 
19990599,74, 
19990600,50, 
19990601,38, 
19990602,17, 
19990603,7, 
19990604,98, 
19990605,56, 
19990606,24, 
19990607,45, 
19990608,57, 
19990609,72, 
19990610,77, 
19990611,5, 
19990612,46, 
19990613,61, 
19990614,75, 
19990615,2, 
19990616,92, 
19990617,62, 
19990618,0, 
19990619,71, 
19990620,85, 
19990621,23, 
19990622,97, 
19990623,11, 
19990624,16, 
19990625,56, 
19990626,74, 
19990627,16, 
19990628,3, 
19990629,68, 
19990630,11, 
19990631,87, 
19990632,91, 
19990633,46, 
19990634,28, 
19990635,55, 
19990636,84, 
19990637,36, 
19990638,65, 
19990639,20, 
19990640,36, 
19990641,14, 
19990642,35, 
19990643,45, 
19990644,70, 
19990645,64, 
19990646,43, 
19990647,40, 
19990648,75, 
19990649,62, 
19990650,93, 
19990651,41, 
19990652,2, 
19990653,95, 
19990654,53, 
19990655,13, 
19990656,28, 
19990657,1, 
19990658,34, 
19990659,98, 
19990660,78, 
19990661,74, 
19990662,36, 
19990663,64, 
19990664,44, 
19990665,80, 
19990666,92, 
19990667,80, 
19990668,3, 
19990669,87, 
19990670,82, 
19990671,53, 
19990672,43, 
19990673,93, 
19990674,40, 
19990675,33, 
19990676,62, 
19990677,92, 
19990678,11, 
19990679,75, 
19990680,95, 
19990681,87, 
19990682,97, 
19990683,49, 
19990684,8, 
19990685,46, 
19990686,80, 
19990687,82, 
19990688,24, 
19990689,11, 
19990690,7, 
19990691,52, 
19990692,70, 
19990693,6, 
19990694,21, 
19990695,29, 
19990696,36, 
19990697,3, 
19990698,38, 
19990699,20, 
19990700,14, 
19990701,73, 
19990702,37, 
19990703,68, 
19990704,9, 
19990705,5, 
19990706,88, 
19990707,61, 
19990708,17, 
19990709,84, 
19990710,59, 
19990711,31, 
19990712,28, 
19990713,47, 
19990714,66, 
19990715,74, 
19990716,70, 
19990717,82, 
19990718,2, 
19990719,54, 
19990720,5, 
19990721,86, 
19990722,44, 
19990723,91, 
19990724,55, 
19990725,81, 
19990726,60, 
19990727,86, 
19990728,94, 
19990729,10, 
19990730,71, 
19990731,61, 
19990732,91, 
19990733,30, 
19990734,22, 
19990735,80, 
19990736,54, 
19990737,79, 
19990738,87, 
19990739,32, 
19990740,88, 
19990741,36, 
19990742,95, 
19990743,76, 
19990744,51, 
19990745,67, 
19990746,19, 
19990747,55, 
19990748,83, 
19990749,79, 
19990750,5, 
19990751,25, 
19990752,30, 
19990753,47, 
19990754,54, 
19990755,10, 
19990756,80, 
19990757,6, 
19990758,38, 
19990759,6, 
19990760,11, 
19990761,90, 
19990762,35, 
19990763,84, 
19990764,90, 
19990765,26, 
19990766,93, 
19990767,13, 
19990768,73, 
19990769,30, 
19990770,24, 
19990771,51, 
19990772,70, 
19990773,26, 
19990774,56, 
19990775,73, 
19990776,85, 
19990777,28, 
19990778,70, 
19990779,28, 
19990780,54, 
19990781,40, 
19990782,68, 
19990783,76, 
19990784,75, 
19990785,25, 
19990786,4, 
19990787,96, 
19990788,12, 
19990789,57, 
19990790,66, 
19990791,65, 
19990792,99, 
19990793,57, 
19990794,25, 
19990795,13, 
19990796,76, 
19990797,55, 
19990798,31, 
19990799,54, 
19990800,0, 
19990801,15, 
19990802,78, 
19990803,28, 
19990804,13, 
19990805,34, 
19990806,88, 
19990807,57, 
19990808,99, 
19990809,23, 
19990810,71, 
19990811,53, 
19990812,29, 
19990813,67, 
19990814,40, 
19990815,92, 
19990816,63, 
19990817,59, 
19990818,33, 
19990819,15, 
19990820,83, 
19990821,38, 
19990822,10, 
19990823,37, 
19990824,42, 
19990825,4, 
19990826,37, 
19990827,63, 
19990828,40, 
19990829,46, 
19990830,60, 
19990831,21, 
19990832,96, 
19990833,53, 
19990834,54, 
19990835,88, 
19990836,48, 
19990837,71, 
19990838,32, 
19990839,93, 
19990840,24, 
19990841,40, 
19990842,8, 
19990843,47, 
19990844,57, 
19990845,13, 
19990846,89, 
19990847,60, 
19990848,83, 
19990849,99, 
19990850,23, 
19990851,11, 
19990852,71, 
19990853,45, 
19990854,81, 
19990855,57, 
19990856,88, 
19990857,34, 
19990858,64, 
19990859,81, 
19990860,66, 
19990861,39, 
19990862,22, 
19990863,75, 
19990864,77, 
19990865,46, 
19990866,12, 
19990867,4, 
19990868,45, 
19990869,24, 
19990870,77, 
19990871,62, 
19990872,34, 
19990873,16, 
19990874,93, 
19990875,81, 
19990876,8, 
19990877,27, 
19990878,84, 
19990879,94, 
19990880,1, 
19990881,34, 
19990882,88, 
19990883,26, 
19990884,32, 
19990885,7, 
19990886,8, 
19990887,49, 
19990888,67, 
19990889,60, 
19990890,25, 
19990891,64, 
19990892,74, 
19990893,73, 
19990894,7, 
19990895,77, 
19990896,17, 
19990897,2, 
19990898,58, 
19990899,87, 
19990900,60, 
19990901,30, 
19990902,52, 
19990903,33, 
19990904,69, 
19990905,10, 
19990906,1, 
19990907,98, 
19990908,92, 
19990909,26, 
19990910,18, 
19990911,50, 
19990912,89, 
19990913,31, 
19990914,31, 
19990915,77, 
19990916,9, 
19990917,96, 
19990918,11, 
19990919,52, 
19990920,94, 
19990921,64, 
19990922,92, 
19990923,25, 
19990924,74, 
19990925,91, 
19990926,49, 
19990927,25, 
19990928,19, 
19990929,48, 
19990930,82, 
19990931,41, 
19990932,46, 
19990933,7, 
19990934,84, 
19990935,42, 
19990936,48, 
19990937,93, 
19990938,33, 
19990939,64, 
19990940,79, 
19990941,8, 
19990942,13, 
19990943,52, 
19990944,29, 
19990945,42, 
19990946,3, 
19990947,51, 
19990948,3, 
19990949,86, 
19990950,37, 
19990951,47, 
19990952,44, 
19990953,26, 
19990954,27, 
19990955,72, 
19990956,28, 
19990957,72, 
19990958,47, 
19990959,11, 
19990960,56, 
19990961,43, 
19990962,58, 
19990963,51, 
19990964,41, 
19990965,45, 
19990966,60, 
19990967,36, 
19990968,92, 
19990969,79, 
19990970,26, 
19990971,47, 
19990972,68, 
19990973,43, 
19990974,40, 
19990975,77, 
19990976,93, 
19990977,50, 
19990978,37, 
19990979,50, 
19990980,18, 
19990981,75, 
19990982,20, 
19990983,64, 
19990984,79, 
19990985,48, 
19990986,47, 
19990987,59, 
19990988,87, 
19990989,27, 
19990990,71, 
19990991,26, 
19990992,6, 
19990993,33, 
19990994,2, 
19990995,62, 
19990996,91, 
19990997,5, 
19990998,30, 
19990999,96, 
19991000,44, 
19991001,97, 
19991002,80, 
19991003,93, 
19991004,4, 
19991005,98, 
19991006,64, 
19991007,72, 
19991008,2, 
19991009,62, 
19991010,96, 
19991011,72, 
19991012,89, 
19991013,64, 
19991014,67, 
19991015,97, 
19991016,49, 
19991017,30, 
19991018,73, 
19991019,27, 
19991020,13, 
19991021,85, 
19991022,58, 
19991023,71, 
19991024,10, 
19991025,25, 
19991026,18, 
19991027,40, 
19991028,95, 
19991029,52, 
19991030,24, 
19991031,20, 
19991032,85, 
19991033,71, 
19991034,75, 
19991035,25, 
19991036,33, 
19991037,98, 
19991038,29, 
19991039,79, 
19991040,9, 
19991041,40, 
19991042,43, 
19991043,49, 
19991044,20, 
19991045,72, 
19991046,50, 
19991047,86, 
19991048,93, 
19991049,39, 
19991050,77, 
19991051,92, 
19991052,38, 
19991053,61, 
19991054,66, 
19991055,14, 
19991056,46, 
19991057,30, 
19991058,13, 
19991059,20, 
19991060,54, 
19991061,96, 
19991062,56, 
19991063,15, 
19991064,68, 
19991065,98, 
19991066,38, 
19991067,33, 
19991068,21, 
19991069,87, 
19991070,35, 
19991071,33, 
19991072,22, 
19991073,7, 
19991074,39, 
19991075,85, 
19991076,75, 
19991077,40, 
19991078,10, 
19991079,67, 
19991080,41, 
19991081,66, 
19991082,88, 
19991083,32, 
19991084,47, 
19991085,0, 
19991086,30, 
19991087,47, 
19991088,75, 
19991089,74, 
19991090,82, 
19991091,72, 
19991092,19, 
19991093,48, 
19991094,67, 
19991095,38, 
19991096,24, 
19991097,56, 
19991098,1, 
19991099,1, 
19991100,56, 
19991101,69, 
19991102,54, 
19991103,49, 
19991104,28, 
19991105,64, 
19991106,46, 
19991107,71, 
19991108,83, 
19991109,94, 
19991110,96, 
19991111,56, 
19991112,78, 
19991113,83, 
19991114,34, 
19991115,23, 
19991116,99, 
19991117,40, 
19991118,28, 
19991119,89, 
19991120,7, 
19991121,57, 
19991122,15, 
19991123,77, 
19991124,70, 
19991125,63, 
19991126,38, 
19991127,75, 
19991128,35, 
19991129,96, 
19991130,90, 
19991131,20, 
19991132,47, 
19991133,60, 
19991134,62, 
19991135,28, 
19991136,54, 
19991137,55, 
19991138,72, 
19991139,52, 
19991140,52, 
19991141,53, 
19991142,43, 
19991143,3, 
19991144,74, 
19991145,71, 
19991146,37, 
19991147,22, 
19991148,0, 
19991149,9, 
19991150,93, 
19991151,34, 
19991152,33, 
19991153,13, 
19991154,58, 
19991155,73, 
19991156,38, 
19991157,46, 
19991158,90, 
19991159,1, 
19991160,17, 
19991161,43, 
19991162,91, 
19991163,12, 
19991164,11, 
19991165,20, 
19991166,8, 
19991167,92, 
19991168,63, 
19991169,61, 
19991170,7, 
19991171,82, 
19991172,44, 
19991173,57, 
19991174,14, 
19991175,94, 
19991176,9, 
19991177,87, 
19991178,60, 
19991179,37, 
19991180,89, 
19991181,35, 
19991182,58, 
19991183,39, 
19991184,64, 
19991185,32, 
19991186,69, 
19991187,5, 
19991188,76, 
19991189,9, 
19991190,25, 
19991191,33, 
19991192,59, 
19991193,13, 
19991194,84, 
19991195,3, 
19991196,97, 
19991197,4, 
19991198,55, 
19991199,18, 
19991200,39, 
19991201,67, 
19991202,5, 
19991203,70, 
19991204,61, 
19991205,98, 
19991206,88, 
19991207,7, 
19991208,36, 
19991209,25, 
19991210,86, 
19991211,70, 
19991212,95, 
19991213,37, 
19991214,40, 
19991215,97, 
19991216,55, 
19991217,37, 
19991218,83, 
19991219,40, 
19991220,60, 
19991221,18, 
19991222,66, 
19991223,28, 
19991224,84, 
19991225,55, 
19991226,75, 
19991227,77, 
19991228,19, 
19991229,68, 
19991230,91, 
19991231,43, 
19991232,96, 
19991233,10, 
19991234,49, 
19991235,43, 
19991236,12, 
19991237,79, 
19991238,68, 
19991239,33, 
19991240,14, 
19991241,26, 
19991242,54, 
19991243,44, 
19991244,22, 
19991245,24, 
19991246,18, 
19991247,17, 
19991248,46, 
19991249,84, 
19991250,70, 
19991251,96, 
19991252,16, 
19991253,43, 
19991254,93, 
19991255,34, 
19991256,61, 
19991257,33, 
19991258,91, 
19991259,53, 
19991260,45, 
19991261,42, 
19991262,45, 
19991263,79, 
19991264,21, 
19991265,51, 
19991266,49, 
19991267,36, 
19991268,80, 
19991269,1, 
19991270,57, 
19991271,15, 
19991272,55, 
19991273,95, 
19991274,38, 
19991275,10, 
19991276,7, 
19991277,95, 
19991278,58, 
19991279,50, 
19991280,31, 
19991281,69, 
19991282,74, 
19991283,61, 
19991284,34, 
19991285,2, 
19991286,80, 
19991287,32, 
19991288,66, 
19991289,96, 
19991290,9, 
19991291,40, 
19991292,41, 
19991293,8, 
19991294,76, 
19991295,93, 
19991296,78, 
19991297,84, 
19991298,94, 
19991299,60, 
19991300,12, 
19991301,21, 
19991302,33, 
19991303,41, 
19991304,52, 
19991305,10, 
19991306,88, 
19991307,57, 
19991308,64, 
19991309,96, 
19991310,68, 
19991311,72, 
19991312,62, 
19991313,63, 
19991314,27, 
19991315,86, 
19991316,84, 
19991317,13, 
19991318,84, 
19991319,17, 
19991320,51, 
19991321,81, 
19991322,24, 
19991323,16, 
19991324,2, 
19991325,6, 
19991326,0, 
19991327,67, 
19991328,26, 
19991329,50, 
19991330,19, 
19991331,72, 
19991332,57, 
19991333,50, 
19991334,37, 
19991335,11, 
19991336,23, 
19991337,71, 
19991338,68, 
19991339,72, 
19991340,4, 
19991341,77, 
19991342,27, 
19991343,52, 
19991344,48, 
19991345,82, 
19991346,15, 
19991347,81, 
19991348,98, 
19991349,83, 
19991350,54, 
19991351,39, 
19991352,47, 
19991353,16, 
19991354,64, 
19991355,12, 
19991356,92, 
19991357,77, 
19991358,28, 
19991359,31, 
19991360,71, 
19991361,26, 
19991362,63, 
19991363,65, 
19991364,9, 
19991365,25, 
19991366,80, 
19991367,7, 
19991368,78, 
19991369,2, 
19991370,82, 
19991371,42, 
19991372,71, 
19991373,73, 
19991374,67, 
19991375,83, 
19991376,11, 
19991377,28, 
19991378,96, 
19991379,11, 
19991380,39, 
19991381,6, 
19991382,5, 
19991383,75, 
19991384,0, 
19991385,78, 
19991386,57, 
19991387,86, 
19991388,28, 
19991389,84, 
19991390,71, 
19991391,51, 
19991392,37, 
19991393,50, 
19991394,89, 
19991395,89, 
19991396,80, 
19991397,81, 
19991398,22, 
19991399,77, 
19991400,26, 
19991401,58, 
19991402,68, 
19991403,74, 
19991404,40, 
19991405,31, 
19991406,94, 
19991407,18, 
19991408,14, 
19991409,64, 
19991410,35, 
19991411,18, 
19991412,87, 
19991413,85, 
19991414,97, 
19991415,20, 
19991416,17, 
19991417,25, 
19991418,18, 
19991419,99, 
19991420,75, 
19991421,96, 
19991422,51, 
19991423,92, 
19991424,98, 
19991425,30, 
19991426,11, 
19991427,32, 
19991428,4, 
19991429,6, 
19991430,76, 
19991431,50, 
19991432,90, 
19991433,33, 
19991434,12, 
19991435,28, 
19991436,55, 
19991437,46, 
19991438,69, 
19991439,51, 
19991440,66, 
19991441,35, 
19991442,0, 
19991443,74, 
19991444,91, 
19991445,73, 
19991446,82, 
19991447,7, 
19991448,20, 
19991449,52, 
19991450,51, 
19991451,57, 
19991452,31, 
19991453,23, 
19991454,39, 
19991455,48, 
19991456,90, 
19991457,26, 
19991458,39, 
19991459,42, 
19991460,64, 
19991461,22, 
19991462,80, 
19991463,2, 
19991464,68, 
19991465,88, 
19991466,99, 
19991467,66, 
19991468,8, 
19991469,24, 
19991470,90, 
19991471,47, 
19991472,86, 
19991473,54, 
19991474,29, 
19991475,81, 
19991476,26, 
19991477,42, 
19991478,20, 
19991479,73, 
19991480,16, 
19991481,87, 
19991482,63, 
19991483,47, 
19991484,92, 
19991485,99, 
19991486,68, 
19991487,43, 
19991488,12, 
19991489,36, 
19991490,12, 
19991491,86, 
19991492,64, 
19991493,19, 
19991494,22, 
19991495,92, 
19991496,83, 
19991497,99, 
19991498,25, 
19991499,70, 
19991500,60, 
19991501,14, 
19991502,88, 
19991503,91, 
19991504,12, 
19991505,83, 
19991506,79, 
19991507,53, 
19991508,83, 
19991509,62, 
19991510,17, 
19991511,41, 
19991512,57, 
19991513,9, 
19991514,5, 
19991515,70, 
19991516,56, 
19991517,34, 
19991518,26, 
19991519,12, 
19991520,67, 
19991521,2, 
19991522,10, 
19991523,9, 
19991524,55, 
19991525,84, 
19991526,10, 
19991527,54, 
19991528,47, 
19991529,98, 
19991530,85, 
19991531,12, 
19991532,53, 
19991533,47, 
19991534,31, 
19991535,34, 
19991536,65, 
19991537,13, 
19991538,81, 
19991539,60, 
19991540,29, 
19991541,32, 
19991542,43, 
19991543,86, 
19991544,31, 
19991545,60, 
19991546,49, 
19991547,34, 
19991548,47, 
19991549,76, 
19991550,61, 
19991551,6, 
19991552,50, 
19991553,32, 
19991554,32, 
19991555,38, 
19991556,79, 
19991557,24, 
19991558,10, 
19991559,63, 
19991560,36, 
19991561,10, 
19991562,55, 
19991563,89, 
19991564,94, 
19991565,48, 
19991566,39, 
19991567,66, 
19991568,60, 
19991569,74, 
19991570,23, 
19991571,98, 
19991572,59, 
19991573,11, 
19991574,36, 
19991575,63, 
19991576,52, 
19991577,31, 
19991578,16, 
19991579,47, 
19991580,18, 
19991581,16, 
19991582,40, 
19991583,29, 
19991584,11, 
19991585,49, 
19991586,99, 
19991587,74, 
19991588,50, 
19991589,92, 
19991590,62, 
19991591,90, 
19991592,49, 
19991593,83, 
19991594,12, 
19991595,68, 
19991596,43, 
19991597,78, 
19991598,20, 
19991599,55, 
19991600,18, 
19991601,78, 
19991602,98, 
19991603,9, 
19991604,74, 
19991605,97, 
19991606,80, 
19991607,85, 
19991608,93, 
19991609,30, 
19991610,9, 
19991611,61, 
19991612,54, 
19991613,89, 
19991614,80, 
19991615,41, 
19991616,50, 
19991617,6, 
19991618,81, 
19991619,40, 
19991620,5, 
19991621,41, 
19991622,58, 
19991623,9, 
19991624,7, 
19991625,90, 
19991626,64, 
19991627,28, 
19991628,27, 
19991629,5, 
19991630,96, 
19991631,12, 
19991632,29, 
19991633,71, 
19991634,1, 
19991635,70, 
19991636,46, 
19991637,77, 
19991638,46, 
19991639,11, 
19991640,65, 
19991641,42, 
19991642,8, 
19991643,9, 
19991644,44, 
19991645,48, 
19991646,69, 
19991647,48, 
19991648,78, 
19991649,30, 
19991650,93, 
19991651,21, 
19991652,66, 
19991653,81, 
19991654,87, 
19991655,88, 
19991656,13, 
19991657,64, 
19991658,1, 
19991659,51, 
19991660,95, 
19991661,35, 
19991662,32, 
19991663,15, 
19991664,0, 
19991665,64, 
19991666,73, 
19991667,88, 
19991668,24, 
19991669,0, 
19991670,52, 
19991671,79, 
19991672,90, 
19991673,66, 
19991674,48, 
19991675,45, 
19991676,23, 
19991677,99, 
19991678,50, 
19991679,39, 
19991680,62, 
19991681,32, 
19991682,23, 
19991683,62, 
19991684,83, 
19991685,78, 
19991686,6, 
19991687,77, 
19991688,36, 
19991689,89, 
19991690,74, 
19991691,90, 
19991692,69, 
19991693,3, 
19991694,35, 
19991695,51, 
19991696,77, 
19991697,37, 
19991698,86, 
19991699,89, 
19991700,56, 
19991701,53, 
19991702,81, 
19991703,90, 
19991704,16, 
19991705,31, 
19991706,40, 
19991707,26, 
19991708,25, 
19991709,24, 
19991710,53, 
19991711,73, 
19991712,42, 
19991713,55, 
19991714,71, 
19991715,3, 
19991716,81, 
19991717,62, 
19991718,50, 
19991719,34, 
19991720,19, 
19991721,12, 
19991722,54, 
19991723,41, 
19991724,56, 
19991725,21, 
19991726,55, 
19991727,17, 
19991728,68, 
19991729,80, 
19991730,93, 
19991731,42, 
19991732,48, 
19991733,96, 
19991734,38, 
19991735,67, 
19991736,30, 
19991737,26, 
19991738,23, 
19991739,60, 
19991740,17, 
19991741,47, 
19991742,70, 
19991743,82, 
19991744,54, 
19991745,3, 
19991746,3, 
19991747,63, 
